Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Image Printer CLI.csproj,,,System.Drawing.Common 9.0.3,,,,,"System.Drawing.Common, 9.0.3  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Image Printer CLI.csproj,,,,,,,,Current target framework: net8.0-windows10.0.26100.0 Recommended target framework: net10.0--windows10.0.26100.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,75,5,M:System.Drawing.Image.Clone,,,,,gifFrames[i] = img.Clone() as Bitmap;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,74,5,T:System.Drawing.Imaging.FrameDimension,,,,,"img.SelectActiveFrame(FrameDimension.Time, i);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,74,5,T:System.Drawing.Imaging.FrameDimension,,,,,"img.SelectActiveFrame(FrameDimension.Time, i);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,74,5,P:System.Drawing.Imaging.FrameDimension.Time,,,,,"img.SelectActiveFrame(FrameDimension.Time, i);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,74,5,"M:System.Drawing.Image.SelectActiveFrame(System.Drawing.Imaging.FrameDimension,System.Int32)",,,,,"img.SelectActiveFrame(FrameDimension.Time, i);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,66,4,T:System.Drawing.Imaging.FrameDimension,,,,,int frameCount = img.GetFrameCount(FrameDimension.Time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,66,4,T:System.Drawing.Imaging.FrameDimension,,,,,int frameCount = img.GetFrameCount(FrameDimension.Time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,66,4,P:System.Drawing.Imaging.FrameDimension.Time,,,,,int frameCount = img.GetFrameCount(FrameDimension.Time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,66,4,M:System.Drawing.Image.GetFrameCount(System.Drawing.Imaging.FrameDimension),,,,,int frameCount = img.GetFrameCount(FrameDimension.Time);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,60,3,T:System.Drawing.Imaging.ImageFormat,,,,,"if (img.RawFormat.Equals(ImageFormat.Gif))  			{  				string folder = parentDirectory + name + '\\';  				Directory.CreateDirectory(folder);    				// Number of frames  				int frameCount = img.GetFrameCount(FrameDimension.Time);  				// Initialize the array of frames with the correct length  				Bitmap[] gifFrames = new Bitmap[frameCount];    				// Collect and assign the frames  				for (int i = 0; i < frameCount; i++)  				{  					// Return an Image at a certain index  					img.SelectActiveFrame(FrameDimension.Time, i);  					gifFrames[i] = img.Clone() as Bitmap;  				}    				string[] framesAsStrings = new string[frameCount];  				for (int x = 0; x < frameCount; x++)  				{  					ImagePrinter gifPrinter = new(gifFrames[x], resolution, invert, set);  					framesAsStrings[x] = gifPrinter.ToString();  					File.WriteAllText(folder + name + "" #"" + x + "".txt"", framesAsStrings[x], Encoding.ASCII);  				}  				foreach (string frame in framesAsStrings)  				{  					Console.Clear();  					Console.WriteLine(frame);  					Thread.Sleep(75);  				}  			}    			else  			{  				ImagePrinter imagePrinter = new(path, resolution, invert, set);    				string text = imagePrinter.ToString();  				Console.WriteLine(text);  				File.WriteAllText(parentDirectory + name + "".txt"", text, Encoding.ASCII);  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Image Printer CLI\Image Printer CLI.csproj,File,Image Printer CLI\Program.cs,60,3,T:System.Drawing.Imaging.ImageFormat,,,,,"if (img.RawFormat.Equals(ImageFormat.Gif))  			{  				string folder = parentDirectory + name + '\\';  				Directory.CreateDirectory(folder);    				// Number of frames  				int frameCount = img.GetFrameCount(FrameDimension.Time);  				// Initialize the array of frames with the correct length  				Bitmap[] gifFrames = new Bitmap[frameCount];    				// Collect and assign the frames  				for (int i = 0; i < frameCount; i++)  				{  					// Return an Image at a certain index  					img.SelectActiveFrame(FrameDimension.Time, i);  					gifFrames[i] = img.Clone() as Bitmap;  				}    				string[] framesAsStrings = new string[frameCount];  				for (int x = 0; x < frameCount; x++)  				{  					ImagePrinter gifPrinter = new(gifFrames[x], resolution, invert, set);  					framesAsStrings[x] = gifPrinter.ToString();  					File.WriteAllText(folder + name + "" #"" + x + "".txt"", framesAsStrings[x], Encoding.ASCII);  				}  				foreach (string frame in framesAsStrings)  				{  					Console.Clear();  					Console.WriteLine(frame);  					Thread.Sleep(75);  				}  			}    			else  			{  				ImagePrinter imagePrinter = new(path, resolution, invert, set);    				string text = imagePrinter.ToString();  				Console.WriteLine(text);  				File.WriteAllText(parentDirectory + name + "".txt"", text, Encoding.ASCII);  			}"
